golddiffat10,golddiffat15,firstmidtower,firstherald,dragons,opp_dragons,real,predito,probabilidade,blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5
-0.13525393325263263,0.34214075955007567,0.8545364580516941,-1.2583057392117918,-0.11788934126948536,1.0858424145383414,0,1,0.42321282489580664,Azir,Miss Fortune,Rell,Irelia,Nocturne,Gnar,Lucian,Milio,Xerath,Maokai
-0.5164549129023467,-0.03587990303810001,-1.1702250858669698,0.7947194142390263,-0.8488032571402953,-0.35677679334831214,0,1,0.48130038311222684,Maokai,Rell,Gnar,Zeri,Mel,Dr. Mundo,Ezreal,Gwen,Viktor,Alistar
0.7633638427749602,0.46619542769520933,0.8545364580516941,0.7947194142390263,1.3439384904721343,-0.35677679334831214,0,1,0.6986196873536773,Azir,Vi,Ornn,Jhin,Alistar,Rumble,Skarner,Corki,Lucian,Braum
-0.3710902726625891,-0.5635115602562437,0.8545364580516941,0.7947194142390263,-0.8488032571402953,-0.35677679334831214,0,1,0.5044879928275156,Gwen,Nocturne,Annie,Jinx,Lulu,Poppy,Ryze,Ambessa,Xayah,Blitzcrank
0.13921077209516153,-0.17963423951529356,0.8545364580516941,0.7947194142390263,-0.11788934126948536,-0.35677679334831214,0,1,0.8365924473369345,Naafiri,Lucian,Nami,Sylas,Aurora,Rumble,Zed,Galio,Zeri,Lulu
-0.14135314892702805,0.3336219840551308,-1.1702250858669698,-1.2583057392117918,-0.8488032571402953,1.807152018481668,0,1,0.3815173862328194,Azir,Ambessa,Pantheon,Miss Fortune,Rakan,Rumble,Yone,Nidalee,Alistar,Varus
0.346584105024606,1.012994329776979,0.8545364580516941,0.7947194142390263,-0.8488032571402953,1.0858424145383414,0,1,0.4145866278562871,Pantheon,Jayce,Viktor,Xayah,Rakan,Rumble,Corki,Maokai,Jhin,Rell
0.22358325559096492,0.3469325707659821,-1.1702250858669698,-1.2583057392117918,-0.8488032571402953,-0.35677679334831214,0,1,0.53228408361597,Vi,Miss Fortune,Neeko,Taliyah,Aatrox,Xin Zhao,Viktor,Gragas,Rell,Jhin
0.14226037993235924,0.03706211213736487,-1.1702250858669698,-1.2583057392117918,-0.11788934126948536,-0.35677679334831214,0,1,0.5529137742757239,Neeko,Xayah,Poppy,Aatrox,Hwei,Kai'Sa,Wukong,Nautilus,Orianna,Gnar
-0.30806504402716967,-0.47140230021715307,0.8545364580516941,0.7947194142390263,-0.11788934126948536,0.3645328105950146,0,1,0.4819284560760577,Azir,Jayce,Varus,Poppy,Karma,Kalista,Renata Glasc,Viktor,Skarner,Nidalee
0.20528560856777864,0.621663080477952,-1.1702250858669698,0.7947194142390263,-0.11788934126948536,0.3645328105950146,0,1,0.47548733741215815,Maokai,Tristana,Kennen,Ashe,Seraphine,Viktor,Kindred,K'Sante,Caitlyn,Bard
1.1862427961997097,0.674373003852923,-1.1702250858669698,-1.2583057392117918,-0.11788934126948536,1.0858424145383414,0,1,0.4635221689370869,Sion,Xin Zhao,Viktor,Corki,Elise,Neeko,Ryze,Ornn,Kalista,Wukong
